flight_number,airline,origin,destination,date,day_of_week,month,scheduled_departure,actual_departure,delay_minutes,delay_category,delay_reason,distance,hour_of_day
DE8624,Delta Air Lines,PHX,BWI,2024-08-03,Saturday,August,2024-08-03 15:15:00,2024-08-03 15:27:00,12,Minor Delay,Air Traffic Control,2295,15
DE4731,Delta Air Lines,ORD,LAX,2024-11-12,Tuesday,November,2024-11-12 13:15:00,2024-11-12 18:12:00,297,Severe Delay,Aircraft Issue,1666,13
SP4939,Spirit Airlines,CLT,DFW,2024-12-26,Thursday,December,2024-12-26 14:15:00,2024-12-26 14:25:00,10,Minor Delay,Baggage Loading,1554,14
AM308,American Airlines,SLC,DEN,2024-04-30,Tuesday,April,2024-04-30 20:45:00,2024-04-30 20:52:00,7,Minor Delay,Air Traffic Control,2295,20
DE4292,Delta Air Lines,BWI,LAS,2024-02-08,Thursday,February,2024-02-08 12:30:00,2024-02-08 12:33:00,3,Minor Delay,Air Traffic Control,608,12
AM4860,American Airlines,IAH,SAN,2024-03-30,Saturday,March,2024-03-30 09:00:00,2024-03-30 09:04:00,4,Minor Delay,Air Traffic Control,239,9
UN5484,United Airlines,IAH,BOS,2024-03-11,Monday,March,2024-03-11 22:30:00,2024-03-11 23:47:00,77,Severe Delay,Crew Issue,1603,22
DE6666,Delta Air Lines,JFK,BOS,2024-04-03,Wednesday,April,2024-04-03 09:45:00,2024-04-03 09:47:00,2,Minor Delay,Baggage Loading,1927,9
UN1952,United Airlines,LAX,IAD,2024-11-28,Thursday,November,2024-11-28 17:15:00,2024-11-28 17:19:00,4,Minor Delay,Late Arrival,2177,17
FR3069,Frontier Airlines,LGA,JFK,2024-10-18,Friday,October,2024-10-18 18:00:00,2024-10-18 19:36:00,96,Severe Delay,Airport Congestion,2199,18
SP7320,Spirit Airlines,DFW,ORD,2024-02-27,Tuesday,February,2024-02-27 08:30:00,2024-02-27 08:33:00,3,Minor Delay,Late Arrival,2349,8
SO5642,Southwest Airlines,MSP,DTW,2024-10-22,Tuesday,October,2024-10-22 16:00:00,2024-10-22 16:24:00,24,Moderate Delay,Airport Congestion,2173,16
SP2535,Spirit Airlines,DTW,BWI,2024-06-26,Wednesday,June,2024-06-26 04:15:00,2024-06-26 04:30:00,15,Minor Delay,Baggage Loading,2230,4
DE8155,Delta Air Lines,SEA,LAS,2024-03-25,Monday,March,2024-03-25 10:30:00,2024-03-25 10:38:00,8,Minor Delay,Air Traffic Control,2454,10
SP6707,Spirit Airlines,LAS,DEN,2024-11-25,Monday,November,2024-11-25 13:45:00,2024-11-25 13:48:00,3,Minor Delay,Baggage Loading,2031,13
DE8248,Delta Air Lines,IAD,BWI,2024-06-10,Monday,June,2024-06-10 01:45:00,2024-06-10 01:48:00,3,Minor Delay,Late Arrival,2449,1
DE9999,Delta Air Lines,LGA,SLC,2024-01-01,Monday,January,2024-01-01 09:15:00,2024-01-01 09:22:00,7,Minor Delay,Baggage Loading,1596,9
AM3752,American Airlines,SFO,SEA,2024-07-05,Friday,July,2024-07-05 14:45:00,2024-07-05 18:21:00,216,Severe Delay,Airport Congestion,667,14
SO135,Southwest Airlines,SEA,JFK,2024-02-19,Monday,February,2024-02-19 19:30:00,2024-02-19 19:45:00,15,Minor Delay,Baggage Loading,635,19
UN8167,United Airlines,LAX,IAD,2024-01-24,Wednesday,January,2024-01-24 17:45:00,2024-01-24 17:47:00,2,Minor Delay,Late Arrival,1002,17
DE6537,Delta Air Lines,MCO,BOS,2024-04-06,Saturday,April,2024-04-06 19:15:00,2024-04-06 20:40:00,85,Severe Delay,Airport Congestion,390,19
DE7481,Delta Air Lines,SFO,SAN,2024-11-20,Wednesday,November,2024-11-20 15:15:00,2024-11-20 15:47:00,32,Moderate Delay,Weather,2466,15
FR8428,Frontier Airlines,CLT,IAD,2024-08-09,Friday,August,2024-08-09 15:15:00,2024-08-09 15:27:00,12,Minor Delay,Late Arrival,2659,15
AL8359,Alaska Airlines,JFK,SFO,2024-11-06,Wednesday,November,2024-11-06 22:15:00,2024-11-06 22:19:00,4,Minor Delay,Baggage Loading,1404,22
UN2363,United Airlines,EWR,BWI,2024-08-19,Monday,August,2024-08-19 17:30:00,2024-08-19 20:40:00,190,Severe Delay,Aircraft Issue,1022,17
JE5757,JetBlue Airways,SLC,LAX,2024-04-17,Wednesday,April,2024-04-17 23:15:00,2024-04-17 23:20:00,5,Minor Delay,Late Arrival,2808,23
DE5871,Delta Air Lines,DTW,BOS,2024-06-14,Friday,June,2024-06-14 15:45:00,2024-06-14 15:53:00,8,Minor Delay,Late Arrival,1371,15
AM8664,American Airlines,ORD,ATL,2024-08-04,Sunday,August,2024-08-04 11:00:00,2024-08-04 11:04:00,4,Minor Delay,Air Traffic Control,1293,11
JE4205,JetBlue Airways,LAX,DFW,2024-03-23,Saturday,March,2024-03-23 16:30:00,2024-03-23 16:36:00,6,Minor Delay,Late Arrival,332,16
FR1779,Frontier Airlines,LGA,SAN,2024-07-02,Tuesday,July,2024-07-02 17:15:00,2024-07-02 21:04:00,229,Severe Delay,Aircraft Issue,2292,17
JE869,JetBlue Airways,JFK,EWR,2024-12-22,Sunday,December,2024-12-22 12:30:00,2024-12-22 13:27:00,57,Moderate Delay,Weather,1229,12
FR3795,Frontier Airlines,BWI,IAD,2024-04-13,Saturday,April,2024-04-13 17:30:00,2024-04-13 19:40:00,130,Severe Delay,Aircraft Issue,1404,17
UN1320,United Airlines,CLT,MCO,2024-08-17,Saturday,August,2024-08-17 17:00:00,2024-08-17 17:03:00,3,Minor Delay,Baggage Loading,1343,17
JE2231,JetBlue Airways,CLT,LGA,2024-10-11,Friday,October,2024-10-11 19:00:00,2024-10-11 19:05:00,5,Minor Delay,Late Arrival,834,19
UN5385,United Airlines,LGA,DFW,2024-01-21,Sunday,January,2024-01-21 18:30:00,2024-01-21 18:44:00,14,Minor Delay,Late Arrival,2453,18
DE5307,Delta Air Lines,MSP,LAS,2024-07-02,Tuesday,July,2024-07-02 22:00:00,2024-07-02 23:51:00,111,Severe Delay,Airport Congestion,2424,22
SP1606,Spirit Airlines,IAH,LAS,2024-10-01,Tuesday,October,2024-10-01 20:30:00,2024-10-01 20:38:00,8,Minor Delay,Baggage Loading,1094,20
FR9296,Frontier Airlines,BWI,ATL,2024-11-12,Tuesday,November,2024-11-12 06:30:00,2024-11-12 06:44:00,14,Minor Delay,Late Arrival,2713,6
SO753,Southwest Airlines,SLC,SEA,2024-11-14,Thursday,November,2024-11-14 11:00:00,2024-11-14 11:04:00,4,Minor Delay,Late Arrival,1358,11
AL8526,Alaska Airlines,MSP,SFO,2024-01-13,Saturday,January,2024-01-13 13:30:00,2024-01-13 15:38:00,128,Severe Delay,Crew Issue,2304,13
DE2842,Delta Air Lines,DTW,PHL,2024-02-12,Monday,February,2024-02-12 00:00:00,2024-02-12 00:12:00,12,Minor Delay,Late Arrival,1073,0
SP1802,Spirit Airlines,MCO,PHL,2024-12-16,Monday,December,2024-12-16 19:45:00,2024-12-16 19:46:00,1,Minor Delay,Air Traffic Control,829,19
FR5534,Frontier Airlines,DFW,ORD,2024-01-13,Saturday,January,2024-01-13 05:15:00,2024-01-13 06:21:00,66,Severe Delay,Aircraft Issue,1259,5
SP7491,Spirit Airlines,BWI,JFK,2024-07-27,Saturday,July,2024-07-27 12:00:00,2024-07-27 12:08:00,8,Minor Delay,Air Traffic Control,2390,12
DE9694,Delta Air Lines,DFW,IAD,2024-01-04,Thursday,January,2024-01-04 19:30:00,2024-01-04 20:54:00,84,Severe Delay,Crew Issue,1434,19
DE4712,Delta Air Lines,SFO,JFK,2024-11-06,Wednesday,November,2024-11-06 11:00:00,2024-11-06 11:13:00,13,Minor Delay,Late Arrival,1100,11
SP9041,Spirit Airlines,MIA,SLC,2024-03-10,Sunday,March,2024-03-10 06:30:00,2024-03-10 07:05:00,35,Moderate Delay,Airport Congestion,704,6
AM9483,American Airlines,LGA,JFK,2024-01-22,Monday,January,2024-01-22 14:00:00,2024-01-22 14:01:00,1,Minor Delay,Late Arrival,1608,14
SP8497,Spirit Airlines,LAX,MCO,2024-04-18,Thursday,April,2024-04-18 07:30:00,2024-04-18 07:34:00,4,Minor Delay,Air Traffic Control,2948,7
AM9092,American Airlines,SFO,SLC,2024-10-17,Thursday,October,2024-10-17 14:30:00,2024-10-17 14:38:00,8,Minor Delay,Baggage Loading,602,14
FR5520,Frontier Airlines,IAH,LAX,2024-04-11,Thursday,April,2024-04-11 16:15:00,2024-04-11 16:31:00,16,Moderate Delay,Weather,992,16
FR7483,Frontier Airlines,SEA,BWI,2024-06-11,Tuesday,June,2024-06-11 16:15:00,2024-06-11 16:20:00,5,Minor Delay,Baggage Loading,1495,16
UN179,United Airlines,SEA,LAS,2024-08-07,Wednesday,August,2024-08-07 18:45:00,2024-08-07 18:57:00,12,Minor Delay,Baggage Loading,750,18
AL7963,Alaska Airlines,SFO,BOS,2024-12-13,Friday,December,2024-12-13 10:30:00,2024-12-13 10:51:00,21,Moderate Delay,Weather,919,10
DE4697,Delta Air Lines,LAX,PHL,2024-11-26,Tuesday,November,2024-11-26 07:00:00,2024-11-26 07:39:00,39,Moderate Delay,Weather,2583,7
SP9767,Spirit Airlines,MCO,DFW,2024-10-23,Wednesday,October,2024-10-23 14:45:00,2024-10-23 14:57:00,12,Minor Delay,Air Traffic Control,1698,14
SO9760,Southwest Airlines,IAD,MIA,2024-07-19,Friday,July,2024-07-19 06:00:00,2024-07-19 06:07:00,7,Minor Delay,Late Arrival,243,6
SO2817,Southwest Airlines,MSP,LAX,2024-12-05,Thursday,December,2024-12-05 12:15:00,2024-12-05 12:25:00,10,Minor Delay,Late Arrival,2900,12
FR5978,Frontier Airlines,DFW,PHX,2024-03-15,Friday,March,2024-03-15 18:15:00,2024-03-15 18:20:00,5,Minor Delay,Baggage Loading,1158,18
SO8585,Southwest Airlines,IAH,EWR,2024-01-22,Monday,January,2024-01-22 13:45:00,2024-01-22 14:35:00,50,Moderate Delay,Air Traffic Control,622,13
JE4414,JetBlue Airways,PHL,DTW,2024-12-26,Thursday,December,2024-12-26 15:45:00,2024-12-26 15:53:00,8,Minor Delay,Baggage Loading,2607,15
DE8565,Delta Air Lines,PHX,EWR,2024-11-30,Saturday,November,2024-11-30 22:15:00,2024-11-30 22:22:00,7,Minor Delay,Baggage Loading,1613,22
FR9999,Frontier Airlines,ATL,DTW,2024-09-06,Friday,September,2024-09-06 20:45:00,2024-09-06 20:55:00,10,Minor Delay,Air Traffic Control,2307,20
JE3565,JetBlue Airways,LAX,MCO,2024-11-25,Monday,November,2024-11-25 07:00:00,2024-11-25 07:05:00,5,Minor Delay,Baggage Loading,1552,7
FR7944,Frontier Airlines,BOS,MCO,2024-02-28,Wednesday,February,2024-02-28 15:45:00,2024-02-28 15:56:00,11,Minor Delay,Air Traffic Control,723,15
UN2307,United Airlines,BWI,MSP,2024-10-20,Sunday,October,2024-10-20 03:15:00,2024-10-20 03:20:00,5,Minor Delay,Baggage Loading,937,3
SP9919,Spirit Airlines,PHL,SLC,2024-09-21,Saturday,September,2024-09-21 01:30:00,2024-09-21 03:50:00,140,Severe Delay,Airport Congestion,2684,1
FR2894,Frontier Airlines,LAS,SFO,2024-08-29,Thursday,August,2024-08-29 15:15:00,2024-08-29 15:30:00,15,Minor Delay,Late Arrival,1283,15
AL7529,Alaska Airlines,LGA,PHL,2024-03-26,Tuesday,March,2024-03-26 05:45:00,2024-03-26 05:51:00,6,Minor Delay,Air Traffic Control,267,5
SP2550,Spirit Airlines,LGA,ORD,2024-04-13,Saturday,April,2024-04-13 07:00:00,2024-04-13 11:47:00,287,Severe Delay,Weather,581,7
UN9987,United Airlines,DTW,ATL,2024-09-03,Tuesday,September,2024-09-03 20:45:00,2024-09-03 20:45:00,0,On Time,No Delay,1717,20
SP3859,Spirit Airlines,BOS,JFK,2024-01-23,Tuesday,January,2024-01-23 10:00:00,2024-01-23 10:03:00,3,Minor Delay,Baggage Loading,2154,10
DE4741,Delta Air Lines,LGA,DTW,2024-04-29,Monday,April,2024-04-29 11:15:00,2024-04-29 11:23:00,8,Minor Delay,Late Arrival,229,11
DE8615,Delta Air Lines,ATL,EWR,2024-10-22,Tuesday,October,2024-10-22 16:30:00,2024-10-22 16:54:00,24,Moderate Delay,Weather,833,16
JE4381,JetBlue Airways,DTW,EWR,2024-08-06,Tuesday,August,2024-08-06 14:30:00,2024-08-06 18:23:00,233,Severe Delay,Aircraft Issue,1892,14
FR3028,Frontier Airlines,IAH,PHL,2024-10-09,Wednesday,October,2024-10-09 14:30:00,2024-10-09 17:56:00,206,Severe Delay,Airport Congestion,765,14
DE3864,Delta Air Lines,SFO,IAD,2024-12-03,Tuesday,December,2024-12-03 21:00:00,2024-12-03 21:14:00,14,Minor Delay,Baggage Loading,1586,21
AM2733,American Airlines,JFK,SLC,2024-10-08,Tuesday,October,2024-10-08 00:00:00,2024-10-08 04:31:00,271,Severe Delay,Airport Congestion,561,0
JE3733,JetBlue Airways,IAH,DEN,2024-02-02,Friday,February,2024-02-02 15:45:00,2024-02-02 19:40:00,235,Severe Delay,Crew Issue,2647,15
UN8199,United Airlines,SFO,ATL,2024-01-30,Tuesday,January,2024-01-30 07:30:00,2024-01-30 07:30:00,0,On Time,No Delay,2655,7
SO2876,Southwest Airlines,SLC,DFW,2024-09-18,Wednesday,September,2024-09-18 10:00:00,2024-09-18 11:14:00,74,Severe Delay,Crew Issue,1836,10
SP6742,Spirit Airlines,PHL,MCO,2024-06-29,Saturday,June,2024-06-29 14:00:00,2024-06-29 16:55:00,175,Severe Delay,Crew Issue,1623,14
SO3287,Southwest Airlines,SFO,JFK,2024-05-21,Tuesday,May,2024-05-21 15:30:00,2024-05-21 15:31:00,1,Minor Delay,Late Arrival,636,15
DE8343,Delta Air Lines,MIA,IAH,2024-10-13,Sunday,October,2024-10-13 21:30:00,2024-10-14 00:08:00,158,Severe Delay,Airport Congestion,1744,21
FR4085,Frontier Airlines,SEA,BOS,2024-10-15,Tuesday,October,2024-10-15 16:00:00,2024-10-15 16:18:00,18,Moderate Delay,Air Traffic Control,476,16
SO3867,Southwest Airlines,SEA,SFO,2024-07-14,Sunday,July,2024-07-14 22:00:00,2024-07-15 00:44:00,164,Severe Delay,Aircraft Issue,1376,22
SP5703,Spirit Airlines,DEN,PHL,2024-02-17,Saturday,February,2024-02-17 21:45:00,2024-02-17 21:58:00,13,Minor Delay,Air Traffic Control,2549,21
UN3215,United Airlines,BOS,MCO,2024-05-17,Friday,May,2024-05-17 08:15:00,2024-05-17 10:30:00,135,Severe Delay,Aircraft Issue,1030,8
AL2655,Alaska Airlines,ORD,LAX,2024-05-07,Tuesday,May,2024-05-07 20:45:00,2024-05-07 21:18:00,33,Moderate Delay,Weather,2175,20
AL8166,Alaska Airlines,PHL,PHX,2024-07-09,Tuesday,July,2024-07-09 13:30:00,2024-07-09 13:35:00,5,Minor Delay,Late Arrival,725,13
SP7936,Spirit Airlines,DTW,DFW,2024-01-28,Sunday,January,2024-01-28 13:45:00,2024-01-28 15:44:00,119,Severe Delay,Airport Congestion,693,13
FR5271,Frontier Airlines,SAN,ATL,2024-12-23,Monday,December,2024-12-23 00:15:00,2024-12-23 00:18:00,3,Minor Delay,Air Traffic Control,1532,0
JE3166,JetBlue Airways,DTW,PHX,2024-07-04,Thursday,July,2024-07-04 08:45:00,2024-07-04 12:10:00,205,Severe Delay,Crew Issue,953,8
SP3549,Spirit Airlines,EWR,IAD,2024-09-12,Thursday,September,2024-09-12 18:30:00,2024-09-12 21:23:00,173,Severe Delay,Airport Congestion,936,18
UN9535,United Airlines,SLC,LAS,2024-10-19,Saturday,October,2024-10-19 18:30:00,2024-10-19 22:41:00,251,Severe Delay,Airport Congestion,1003,18
UN7849,United Airlines,ATL,MCO,2024-03-15,Friday,March,2024-03-15 12:15:00,2024-03-15 17:09:00,294,Severe Delay,Crew Issue,2193,12
JE9310,JetBlue Airways,PHL,DFW,2024-06-02,Sunday,June,2024-06-02 11:15:00,2024-06-02 11:23:00,8,Minor Delay,Baggage Loading,2151,11
DE7470,Delta Air Lines,IAD,SEA,2024-11-18,Monday,November,2024-11-18 08:30:00,2024-11-18 08:35:00,5,Minor Delay,Baggage Loading,1609,8
SP2086,Spirit Airlines,IAH,SAN,2024-01-11,Thursday,January,2024-01-11 22:15:00,2024-01-11 22:31:00,16,Moderate Delay,Airport Congestion,1365,22
AL8463,Alaska Airlines,BOS,SFO,2024-06-30,Sunday,June,2024-06-30 20:45:00,2024-06-30 20:50:00,5,Minor Delay,Baggage Loading,2787,20
UN5627,United Airlines,EWR,SLC,2024-03-15,Friday,March,2024-03-15 15:45:00,2024-03-15 16:51:00,66,Severe Delay,Weather,863,15
SO5236,Southwest Airlines,SEA,SLC,2024-06-24,Monday,June,2024-06-24 09:30:00,2024-06-24 09:36:00,6,Minor Delay,Baggage Loading,1311,9
AL9716,Alaska Airlines,MSP,SFO,2024-08-15,Thursday,August,2024-08-15 12:15:00,2024-08-15 13:49:00,94,Severe Delay,Aircraft Issue,2911,12
DE3550,Delta Air Lines,CLT,EWR,2024-05-08,Wednesday,May,2024-05-08 06:00:00,2024-05-08 10:32:00,272,Severe Delay,Weather,307,6
DE1802,Delta Air Lines,PHX,BWI,2024-07-22,Monday,July,2024-07-22 07:45:00,2024-07-22 07:48:00,3,Minor Delay,Air Traffic Control,1363,7
UN2250,United Airlines,MSP,CLT,2024-08-14,Wednesday,August,2024-08-14 02:30:00,2024-08-14 05:46:00,196,Severe Delay,Airport Congestion,2113,2
JE9087,JetBlue Airways,SFO,LAX,2024-10-03,Thursday,October,2024-10-03 22:15:00,2024-10-03 22:29:00,14,Minor Delay,Baggage Loading,2784,22
SP8676,Spirit Airlines,BWI,SLC,2024-11-21,Thursday,November,2024-11-21 14:30:00,2024-11-21 14:33:00,3,Minor Delay,Air Traffic Control,566,14
JE6092,JetBlue Airways,EWR,PHX,2024-08-14,Wednesday,August,2024-08-14 07:00:00,2024-08-14 07:11:00,11,Minor Delay,Air Traffic Control,1608,7
FR8867,Frontier Airlines,ATL,IAD,2024-05-26,Sunday,May,2024-05-26 21:45:00,2024-05-26 22:12:00,27,Moderate Delay,Late Arrival,1399,21
SO218,Southwest Airlines,DTW,IAH,2024-11-01,Friday,November,2024-11-01 07:45:00,2024-11-01 07:46:00,1,Minor Delay,Air Traffic Control,2845,7
SP3714,Spirit Airlines,PHX,DEN,2024-07-18,Thursday,July,2024-07-18 12:15:00,2024-07-18 12:37:00,22,Moderate Delay,Air Traffic Control,1366,12
JE6865,JetBlue Airways,MCO,DEN,2024-11-28,Thursday,November,2024-11-28 07:30:00,2024-11-28 07:40:00,10,Minor Delay,Baggage Loading,2730,7
JE8160,JetBlue Airways,MCO,IAH,2024-08-19,Monday,August,2024-08-19 01:00:00,2024-08-19 01:41:00,41,Moderate Delay,Airport Congestion,618,1
JE2148,JetBlue Airways,SAN,SFO,2024-05-24,Friday,May,2024-05-24 17:15:00,2024-05-24 17:17:00,2,Minor Delay,Air Traffic Control,2221,17
AL6985,Alaska Airlines,MIA,MSP,2024-04-21,Sunday,April,2024-04-21 23:45:00,2024-04-21 23:54:00,9,Minor Delay,Air Traffic Control,1552,23
UN1018,United Airlines,PHX,EWR,2024-02-11,Sunday,February,2024-02-11 05:45:00,2024-02-11 05:58:00,13,Minor Delay,Baggage Loading,1762,5
DE4178,Delta Air Lines,JFK,BOS,2024-01-07,Sunday,January,2024-01-07 08:00:00,2024-01-07 08:04:00,4,Minor Delay,Late Arrival,584,8
SO7846,Southwest Airlines,JFK,SAN,2024-09-23,Monday,September,2024-09-23 22:30:00,2024-09-23 22:41:00,11,Minor Delay,Late Arrival,372,22
DE4250,Delta Air Lines,BOS,SLC,2024-10-08,Tuesday,October,2024-10-08 09:30:00,2024-10-08 11:51:00,141,Severe Delay,Weather,1166,9
SP5416,Spirit Airlines,ATL,MCO,2024-11-20,Wednesday,November,2024-11-20 18:00:00,2024-11-20 18:23:00,23,Moderate Delay,Airport Congestion,236,18
FR9868,Frontier Airlines,LAX,JFK,2024-01-22,Monday,January,2024-01-22 18:15:00,2024-01-22 18:20:00,5,Minor Delay,Air Traffic Control,2733,18
AM1079,American Airlines,IAH,SLC,2024-06-22,Saturday,June,2024-06-22 07:00:00,2024-06-22 07:03:00,3,Minor Delay,Air Traffic Control,1497,7
AL7287,Alaska Airlines,IAD,MCO,2024-10-12,Saturday,October,2024-10-12 01:45:00,2024-10-12 01:52:00,7,Minor Delay,Air Traffic Control,1226,1
FR7268,Frontier Airlines,DTW,MIA,2024-01-21,Sunday,January,2024-01-21 14:45:00,2024-01-21 14:53:00,8,Minor Delay,Air Traffic Control,2426,14
AL7774,Alaska Airlines,PHX,BWI,2024-06-27,Thursday,June,2024-06-27 20:15:00,2024-06-27 20:32:00,17,Moderate Delay,Airport Congestion,2040,20
JE8973,JetBlue Airways,IAH,BOS,2024-05-31,Friday,May,2024-05-31 00:45:00,2024-05-31 01:24:00,39,Moderate Delay,Air Traffic Control,2740,0
AL1137,Alaska Airlines,SLC,DTW,2024-05-02,Thursday,May,2024-05-02 19:15:00,2024-05-02 19:22:00,7,Minor Delay,Baggage Loading,2458,19
JE5385,JetBlue Airways,EWR,SLC,2024-03-19,Tuesday,March,2024-03-19 09:00:00,2024-03-19 09:05:00,5,Minor Delay,Air Traffic Control,379,9
UN612,United Airlines,MCO,ORD,2024-03-07,Thursday,March,2024-03-07 13:00:00,2024-03-07 13:03:00,3,Minor Delay,Late Arrival,1791,13
FR8715,Frontier Airlines,LGA,IAD,2024-12-02,Monday,December,2024-12-02 15:00:00,2024-12-02 15:01:00,1,Minor Delay,Late Arrival,490,15
SO8151,Southwest Airlines,DEN,BOS,2024-01-07,Sunday,January,2024-01-07 18:00:00,2024-01-07 18:02:00,2,Minor Delay,Late Arrival,1903,18
AM4455,American Airlines,MSP,DFW,2024-07-07,Sunday,July,2024-07-07 17:30:00,2024-07-07 17:32:00,2,Minor Delay,Air Traffic Control,2327,17
DE3884,Delta Air Lines,DTW,JFK,2024-02-19,Monday,February,2024-02-19 07:15:00,2024-02-19 07:21:00,6,Minor Delay,Air Traffic Control,2487,7
SP1828,Spirit Airlines,BWI,PHL,2024-10-12,Saturday,October,2024-10-12 10:45:00,2024-10-12 14:53:00,248,Severe Delay,Weather,883,10
SP8368,Spirit Airlines,SEA,SAN,2024-04-02,Tuesday,April,2024-04-02 07:45:00,2024-04-02 10:56:00,191,Severe Delay,Crew Issue,1722,7
SP5399,Spirit Airlines,LGA,LAS,2024-07-30,Tuesday,July,2024-07-30 14:15:00,2024-07-30 14:16:00,1,Minor Delay,Late Arrival,1240,14
FR7431,Frontier Airlines,JFK,ATL,2024-07-03,Wednesday,July,2024-07-03 17:30:00,2024-07-03 17:37:00,7,Minor Delay,Late Arrival,753,17
AM5020,American Airlines,LAS,MCO,2024-06-03,Monday,June,2024-06-03 19:00:00,2024-06-03 21:51:00,171,Severe Delay,Aircraft Issue,586,19
FR5927,Frontier Airlines,LAX,CLT,2024-01-20,Saturday,January,2024-01-20 08:15:00,2024-01-20 08:41:00,26,Moderate Delay,Air Traffic Control,576,8
SP9423,Spirit Airlines,MCO,DEN,2024-10-19,Saturday,October,2024-10-19 17:45:00,2024-10-19 18:02:00,17,Moderate Delay,Weather,2638,17
JE712,JetBlue Airways,IAD,PHL,2024-11-24,Sunday,November,2024-11-24 11:00:00,2024-11-24 14:21:00,201,Severe Delay,Crew Issue,1978,11
DE3814,Delta Air Lines,IAD,BWI,2024-08-01,Thursday,August,2024-08-01 19:00:00,2024-08-01 19:06:00,6,Minor Delay,Late Arrival,1766,19
JE8691,JetBlue Airways,DFW,IAH,2024-01-28,Sunday,January,2024-01-28 14:15:00,2024-01-28 14:53:00,38,Moderate Delay,Airport Congestion,827,14
SP7400,Spirit Airlines,LGA,PHL,2024-01-26,Friday,January,2024-01-26 13:15:00,2024-01-26 13:23:00,8,Minor Delay,Baggage Loading,806,13
AL1452,Alaska Airlines,BOS,LGA,2024-03-08,Friday,March,2024-03-08 17:45:00,2024-03-08 17:54:00,9,Minor Delay,Baggage Loading,2255,17
UN2309,United Airlines,BOS,PHL,2024-08-10,Saturday,August,2024-08-10 07:45:00,2024-08-10 07:52:00,7,Minor Delay,Air Traffic Control,2498,7
SO4070,Southwest Airlines,DEN,MIA,2024-11-11,Monday,November,2024-11-11 18:30:00,2024-11-11 18:38:00,8,Minor Delay,Late Arrival,566,18
SP7039,Spirit Airlines,IAH,JFK,2024-02-27,Tuesday,February,2024-02-27 07:30:00,2024-02-27 07:35:00,5,Minor Delay,Air Traffic Control,1448,7
AL7345,Alaska Airlines,LGA,LAX,2024-03-27,Wednesday,March,2024-03-27 12:15:00,2024-03-27 12:21:00,6,Minor Delay,Baggage Loading,838,12
DE993,Delta Air Lines,LAS,BWI,2024-02-13,Tuesday,February,2024-02-13 21:30:00,2024-02-13 21:52:00,22,Moderate Delay,Weather,1449,21
FR472,Frontier Airlines,SEA,MCO,2024-08-18,Sunday,August,2024-08-18 17:15:00,2024-08-18 17:34:00,19,Moderate Delay,Air Traffic Control,2447,17
UN401,United Airlines,JFK,LGA,2024-09-04,Wednesday,September,2024-09-04 20:00:00,2024-09-04 20:00:00,0,On Time,No Delay,446,20
SO4544,Southwest Airlines,DFW,BOS,2024-05-25,Saturday,May,2024-05-25 16:00:00,2024-05-25 16:02:00,2,Minor Delay,Late Arrival,1311,16
AL1867,Alaska Airlines,ATL,SEA,2024-12-05,Thursday,December,2024-12-05 19:45:00,2024-12-05 19:49:00,4,Minor Delay,Baggage Loading,2282,19
DE5268,Delta Air Lines,BOS,BWI,2024-12-29,Sunday,December,2024-12-29 14:15:00,2024-12-29 14:30:00,15,Minor Delay,Baggage Loading,2496,14
AM751,American Airlines,LAS,DTW,2024-12-30,Monday,December,2024-12-30 09:45:00,2024-12-30 10:04:00,19,Moderate Delay,Airport Congestion,275,9
AL5922,Alaska Airlines,BWI,MIA,2024-06-26,Wednesday,June,2024-06-26 08:30:00,2024-06-26 11:11:00,161,Severe Delay,Airport Congestion,320,8
JE3795,JetBlue Airways,LAX,IAH,2024-10-11,Friday,October,2024-10-11 20:15:00,2024-10-11 20:28:00,13,Minor Delay,Baggage Loading,2332,20
SO6937,Southwest Airlines,LAS,LGA,2024-12-13,Friday,December,2024-12-13 07:30:00,2024-12-13 10:48:00,198,Severe Delay,Airport Congestion,2420,7
SO2370,Southwest Airlines,PHL,DTW,2024-03-08,Friday,March,2024-03-08 16:15:00,2024-03-08 19:23:00,188,Severe Delay,Aircraft Issue,1961,16
UN5301,United Airlines,DEN,PHL,2024-03-15,Friday,March,2024-03-15 14:00:00,2024-03-15 14:02:00,2,Minor Delay,Air Traffic Control,320,14
SP6837,Spirit Airlines,MIA,BOS,2024-06-12,Wednesday,June,2024-06-12 17:30:00,2024-06-12 17:35:00,5,Minor Delay,Air Traffic Control,637,17
UN529,United Airlines,LGA,BWI,2024-03-08,Friday,March,2024-03-08 08:15:00,2024-03-08 08:26:00,11,Minor Delay,Air Traffic Control,306,8
DE7908,Delta Air Lines,LAX,DTW,2024-07-02,Tuesday,July,2024-07-02 19:45:00,2024-07-02 23:26:00,221,Severe Delay,Aircraft Issue,1787,19
FR2353,Frontier Airlines,CLT,LAS,2024-09-08,Sunday,September,2024-09-08 08:45:00,2024-09-08 09:22:00,37,Moderate Delay,Air Traffic Control,1891,8
SO3451,Southwest Airlines,DEN,MCO,2024-04-23,Tuesday,April,2024-04-23 21:45:00,2024-04-24 02:25:00,280,Severe Delay,Crew Issue,2074,21
SP6733,Spirit Airlines,DFW,BWI,2024-05-06,Monday,May,2024-05-06 17:45:00,2024-05-06 21:36:00,231,Severe Delay,Weather,2332,17
